flag,lon,lat,alt,t,u,v,p,tas,gs,heading,track,dist,hex,flight,version,category
0,,,,,,,,,,,,,841bd0,,,
0,,,,,,,,,,,,,84c43e,,0,A0
0,,,,,,,,,,,,,8681ac,,0,A0
0,,,,,,,,,,,,,84b40d,,2,A3
1,,,10119.36,,,,,,,,,,8518d0,,0,
11,137.974198,35.292136,10751.82,,0,0,,,,,,,86cf2b,,0,
11,138.062096,36.408508,12496.800000000001,,0,0,,,,,,,86e518,,0,
15,138.034344,35.41713,9677.4,-42.60820026552207,0,0,,,,,,,846866,ANA535  ,2,A3
11,138.236389,35.801102,11300.460000000001,,0,0,,,,,,,899103,CAL5133 ,2,A5
11,138.215955,35.830326,10683.24,,0,0,,,,,,,86d2fb,APJ421  ,0,A0
11,137.917957,36.250626,9791.7,,0,0,,,,,,,847114,FDA354  ,2,A3
0,,,,,,,,,,,,,841bd0,,,
0,,,,,,,,,,,,,84c43e,,0,A0
0,,,,,,,,,,,,,8681ac,,0,A0
0,,,,,,,,,,,,,84b40d,,2,A3
1,,,10119.36,,,,,,,,,,8518d0,,0,
11,137.974198,35.292136,10751.82,,0,0,,,,,,,86cf2b,,0,
11,138.062096,36.408508,12496.800000000001,,0,0,,,,,,,86e518,,0,
15,138.034344,35.41713,9677.4,-42.60820026552207,0,0,,,,,,,846866,ANA535  ,2,A3
11,138.236389,35.801102,11300.460000000001,,0,0,,,,,,,899103,CAL5133 ,2,A5
11,138.215955,35.830326,10683.24,,0,0,,,,,,,86d2fb,APJ421  ,0,A0
11,137.917957,36.250626,9791.7,,0,0,,,,,,,847114,FDA354  ,2,A3
