hex,z1,z2,t1,t2,p1,p2,theta1,theta2,dpdz,dtdz,dvdz_square
3c4591,10264.140000000001,10309.86,221.35091822150042,221.35091822150042,26194.208957763196,26163.607928474863,324.631883074039,324.7403747616902,-0.6693138514508613,0.0023729590474883765,0.001827335887212216
3c4591,10309.86,10370.82,221.35091822150042,221.35091822150042,26163.607928474863,25798.648091025203,324.7403747616902,326.0469996816562,-5.98687397391183,0.021434135826214184,7.638332524639762e-05
3c4591,10370.82,11475.720000000001,221.35091822150042,211.980968187903,25798.648091025203,21884.747151178013,326.0469996816562,327.28172220265805,-3.5423123720220695,0.0011174970775652592,3.9865077051015936e-05
3c4591,11475.720000000001,11498.58,211.980968187903,214.0340406469564,21884.747151178013,21727.507176299187,327.28172220265805,331.13335412364347,-6.878389102311248,0.16848783556367605,0.019884495208896916
3c4591,10264.140000000001,10485.12,0.0,0.0,26194.208957763196,25348.256719519897,0,0,-3.828184624143816,0.0,0.0
3c4591,10485.12,10782.300000000001,0.0,0.0,25348.256719519897,24264.460088363627,0,0,-3.6469366416187814,0.0,0.0
3c4591,10782.300000000001,10873.74,0.0,0.0,24264.460088363627,23864.296255921417,0,0,-4.376244886725885,0.0,0.0
3c4591,10873.74,10988.04,0.0,0.0,23864.296255921417,23469.493285269877,0,0,-3.4540942314220215,0.0,0.0
3c4591,10988.04,11094.720000000001,0.0,0.0,23469.493285269877,23156.485411339538,0,0,-2.93408205783969,0.0,0.0
3c4591,11094.720000000001,11254.74,0.0,0.0,23156.485411339538,22770.129741342906,0,0,-2.4144211348371165,0.0,0.0
3c4591,11254.74,11346.18,0.0,0.0,22770.129741342906,22256.079956232177,0,0,-5.621716810047305,0.0,0.0
3c4591,11346.18,11498.58,0.0,0.0,22256.079956232177,21727.507176299187,0,0,-3.4683253276443042,0.0,0.0
3c4591,10584.18,10698.480000000001,0.0,0.0,24963.087554648995,24524.564938942127,0,0,-3.8365933132709014,0.0,2.8389384201478393e-05
3c4591,10698.480000000001,11498.58,0.0,0.0,24524.564938942127,21727.507176299187,0,0,-3.4958852176514754,0.0,2.8268252486954048e-05
407c8a,5684.52,6012.18,257.9046457244882,257.9046457244882,50541.19739783448,48289.25523055913,313.4541612058937,317.56495967942664,-6.872801584799345,0.012545927099838107,9.593151902147082e-05
407c8a,5044.4400000000005,5250.18,0.0,0.0,55020.58844255766,53474.9462029748,0,0,-7.512599589690179,0.0,0.0
71ba13,10264.140000000001,10881.36,0.0,0.0,26194.208957763196,23921.133011130194,0,0,-3.682764567954707,0.0,0.0
71ba13,10881.36,10888.980000000001,0.0,0.0,23921.133011130194,23835.918915151888,0,0,-11.182952228123028,0.0,0.0
71ba13,10271.76,10469.880000000001,221.08748365010516,219.69684723175348,26194.208957763196,25467.733556208634,324.2455315663698,324.8070169113232,-3.6668453541013495,0.0028340669541360645,0.00012607865622019806
71ba13,10469.880000000001,10561.32,219.69684723175348,217.36586268807116,25467.733556208634,25140.264581248037,324.8070169113232,322.55186775310324,-3.5812442580993165,-0.024662611091644915,0.00037996395352829157
71ba13,10561.32,10744.2,217.36586268807116,218.7663712871304,25140.264581248037,24495.553401372963,322.55186775310324,327.0498747465285,-3.525323599491854,0.024595401320129103,0.0012553394822610298
71ba13,10744.2,10896.6,218.7663712871304,215.3476013562637,24495.553401372963,23835.918915151888,327.0498747465285,324.46091919693015,-4.328310277041187,-0.016987897307075662,0.0001410405499289384
71ba13,10287.0,10896.6,0.0,0.0,26194.208957763196,23835.918915151888,0,0,-3.868586027905687,0.0,0.0
71bf93,11803.380000000001,10568.94,209.54554123182308,0.0,20707.72363948738,24992.54662737164,328.6748584487453,0,-3.4710662226469164,0.26625421928060106,0.000658264388051714
71bf93,11605.26,11750.04,0.0,0.0,21262.53337318419,20882.665412106253,0,0,-2.6237599190353267,0.0,0.0
71bf93,11750.04,11803.380000000001,0.0,0.0,20882.665412106253,20707.72363948738,0,0,-3.2797482680703522,0.0,0.0
71c249,10850.880000000001,10858.5,0.0,0.0,23949.592465909096,23835.918915151888,0,0,-14.917788813283941,0.0,0.0
71c395,10271.76,10279.380000000001,0.0,0.0,26194.208957763196,26163.607928474863,0,0,-4.0158831087046885,0.0,0.0
71c395,10279.380000000001,10340.34,0.0,0.0,26163.607928474863,25950.210294694196,0,0,-3.500617352045114,0.0,0.0
71c395,10340.34,10386.060000000001,0.0,0.0,25950.210294694196,25768.42184651462,0,0,-3.9761252882671174,0.0,0.0
71c395,10386.060000000001,10447.02,0.0,0.0,25768.42184651462,25527.64274526974,0,0,-3.9497884062480835,0.0,0.0
71c395,10447.02,10530.84,0.0,0.0,25527.64274526974,25199.549355971343,0,0,-3.9142613850918266,0.0,0.0
71c395,10530.84,10607.04,0.0,0.0,25199.549355971343,24933.656606617373,0,0,-3.489406159500891,0.0,0.0
71c395,10607.04,10690.86,0.0,0.0,24933.656606617373,24640.88946896039,0,0,-3.4928076551775535,0.0,0.0
71c395,10690.86,10744.2,0.0,0.0,24640.88946896039,24408.685490198142,0,0,-4.3532804417369375,0.0,0.0
71c395,10744.2,10805.16,0.0,0.0,24408.685490198142,24178.25662282512,0,0,-3.780001105200555,0.0,0.0
71c395,10805.16,10881.36,0.0,0.0,24178.25662282512,23864.296255921417,0,0,-4.120214788762459,0.0,0.0
71c395,10904.220000000001,10911.84,0.0,0.0,23807.568905396332,23835.918915151888,0,0,3.72047372120197,0.0,0.0
71c506,10134.6,10279.380000000001,219.8338892741262,217.57340157221617,27000.067918066998,26409.228670776734,319.62646913284874,318.3469776701403,-4.080945208525077,-0.008837487655121174,0.00022995992257416204
71c506,10279.380000000001,10523.220000000001,217.57340157221617,219.22766029199957,26409.228670776734,25407.938269544833,318.3469776701403,324.3312158294533,-4.106341868569147,0.024541659117917506,0.0004997748289384183
71c506,10637.52,9227.82,221.80991429987643,231.2980459045407,24992.54662737164,30739.246079868648,329.7013899730667,324.0546270088208,-4.076540719654539,0.004005648694222818,3.953193106733712e-05
71c506,9227.82,9525.0,231.2980459045407,228.86973677994732,30739.246079868648,29572.67075785359,324.0546270088208,324.21849475104506,-3.925483955902339,0.0005514090525078519,7.191473406493207e-05
71c506,9525.0,9738.36,228.86973677994732,225.14405014396667,29572.67075785359,28639.11528510994,324.21849475104506,321.8786292594622,-4.375494341693137,-0.010966748648213714,0.0002677492173502536
71c506,9738.36,9936.480000000001,225.14405014396667,224.80102254988287,28639.11528510994,27793.750494704916,321.8786292594622,324.15270015613993,-4.266933123384916,0.011478250033705567,0.001303730767048202
71c506,10637.52,8983.98,0.0,0.0,25022.033845343376,32014.778326912405,0,0,-4.228953930094842,-0.0,0.0
71c517,10904.220000000001,12085.32,0.0,208.40329456508215,23666.228117145485,19735.8037831942,0,331.40619552154305,-3.3277659249439435,0.28059114005718694,0.0009984487534455007
71c517,11201.400000000001,11780.52,0.0,0.0,22660.931135318733,20707.72363948738,0,0,-3.3727163555590494,0.0,0.0
71c517,11780.52,12085.32,0.0,0.0,20707.72363948738,19735.8037831942,0,0,-3.188713439282099,0.0,0.0
71c517,12047.220000000001,12062.460000000001,0.0,0.0,19854.75403879312,19807.088146220434,0,0,-3.1276832396774887,0.0,1.5361120405350642e-07
