time,little,alt,latlon,u,t
2022-05-26T23:00,9,8,66,6,48
2022-05-27T00:00,1,1,4,0,2
2022-05-27T01:00,5,3,5,2,21
2022-05-27T02:00,3,1,6,2,20
2022-05-27T03:00,9,9,18,3,156
2022-05-27T04:00,4,2,3,2,21
2022-05-27T05:00,6,1,7,3,50
2022-05-27T06:00,3,4,12,2,16
2022-05-27T07:00,31,12,198,2,117
2022-05-27T08:00,47,30,326,2,27
2022-05-27T09:00,51,25,261,13,90
2022-05-27T10:00,57,43,304,3,106
2022-05-27T11:00,62,26,297,1,46
2022-05-27T12:00,49,27,223,4,32
2022-05-27T13:00,52,39,249,18,73
2022-05-27T14:00,51,29,186,2,45
2022-05-27T15:00,43,25,256,0,32
2022-05-27T16:00,42,27,252,1,24
2022-05-27T17:00,58,35,262,9,71
2022-05-27T18:00,55,39,261,1,62
2022-05-27T19:00,54,34,238,1,100
2022-05-27T20:00,44,39,226,1,63
2022-05-27T21:00,21,10,80,0,18
2022-05-27T22:00,19,13,42,10,60
2022-05-27T23:00,8,1,61,0,11
2022-05-28T00:00,2,2,8,0,17
2022-05-28T01:00,1,0,0,0,0
2022-05-28T02:00,1,0,11,6,4
2022-05-28T03:00,0,0,0,0,0
2022-05-28T04:00,2,0,5,0,8
2022-05-28T05:00,2,1,2,0,15
2022-05-28T06:00,4,3,15,2,3
2022-05-28T07:00,35,33,150,1,65
2022-05-28T08:00,58,24,243,8,90
2022-05-28T09:00,51,30,218,13,43
2022-05-28T10:00,62,43,354,18,21
2022-05-28T11:00,51,36,250,0,52
2022-05-28T12:00,42,19,168,0,29
2022-05-28T13:00,46,30,262,3,36
2022-05-28T14:00,56,18,207,8,34
2022-05-28T15:00,46,39,221,4,28
2022-05-28T16:00,36,38,235,3,36
2022-05-28T18:00,6,2,52,0,6
2022-05-28T19:00,44,24,247,1,56
2022-05-28T20:00,51,42,228,7,69
2022-05-28T21:00,15,3,83,0,28
2022-05-28T22:00,13,15,32,0,20
2022-05-28T23:00,6,3,80,0,6
2022-05-29T00:00,5,2,13,4,2
2022-05-29T01:00,3,3,7,0,8
2022-05-29T02:00,4,4,15,0,18
2022-05-29T03:00,9,6,15,0,0
2022-05-29T04:00,4,1,3,0,0
2022-05-29T05:00,1,0,2,2,14
2022-05-29T06:00,5,7,22,3,13
2022-05-29T07:00,38,29,146,13,87
2022-05-29T08:00,53,32,274,3,42
2022-05-29T09:00,55,38,258,4,34
2022-05-29T10:00,70,49,382,10,43
2022-05-29T11:00,62,47,331,1,25
2022-05-29T12:00,47,23,123,6,38
2022-05-29T13:00,64,27,233,5,105
2022-05-29T14:00,55,23,183,0,29
2022-05-29T15:00,54,43,206,10,70
2022-05-29T16:00,50,25,238,0,59
2022-05-29T17:00,56,32,209,3,60
2022-05-29T19:00,7,4,30,5,24
2022-05-29T20:00,37,31,204,16,54
2022-05-29T21:00,20,11,72,7,34
2022-05-29T22:00,11,4,24,2,46
2022-05-29T23:00,10,4,63,4,27
2022-05-30T00:00,5,4,8,4,15
2022-05-30T01:00,5,4,8,0,33
2022-05-30T02:00,9,11,30,8,16
2022-05-30T03:00,3,0,1,4,14
2022-05-30T04:00,3,1,0,0,0
2022-05-30T05:00,0,0,0,0,0
2022-05-30T06:00,3,5,13,4,27
2022-05-30T07:00,54,27,210,5,111
2022-05-30T08:00,60,31,216,3,68
2022-05-30T09:00,68,52,263,2,120
2022-05-30T10:00,81,43,305,4,76
2022-05-30T11:00,60,45,238,0,46
2022-05-30T12:00,53,35,178,3,69
2022-05-30T13:00,54,32,209,9,127
2022-05-30T14:00,62,34,275,1,88
2022-05-30T15:00,57,47,213,8,73
2022-05-30T16:00,45,27,172,4,53
2022-05-30T17:00,60,44,267,2,40
2022-05-30T18:00,66,42,380,14,38
2022-05-30T19:00,58,42,255,1,82
2022-05-30T20:00,54,28,221,10,121
2022-05-30T21:00,26,16,103,17,52
2022-05-30T22:00,19,9,104,9,57
2022-05-30T23:00,14,7,40,1,64
2022-05-31T00:00,2,0,2,0,10
2022-05-31T01:00,6,3,9,3,32
2022-05-31T02:00,8,4,16,3,66
